match_id,player_id,team_id,jersey_number,position_name,is_starting_xi
3857272,8246,1839,10,Left Midfield,1
3857272,8526,1839,8,Right Midfield,1
3857272,12352,1839,1,Goalkeeper,1
3857272,12524,1839,3,Right Center Back,1
3857272,12746,1839,25,,0
3857272,12751,1839,4,Right Defensive Midfield,1
3857272,12757,1839,15,,0
3857272,13035,1839,23,,0
3857272,13442,1839,17,,0
3857272,15971,1839,20,,0
3857272,18242,1839,13,Left Center Back,1
3857272,21201,1839,12,,0
3857272,21881,1839,2,Right Back,1
3857272,22008,1839,19,Left Center Forward,1
3857272,22168,1839,24,Left Center Forward,0
3857272,22433,1839,9,,0
3857272,23789,1839,16,,0
3857272,24243,1839,11,Right Midfield,0
3857272,33274,1839,14,,0
3857272,34339,1839,7,Right Center Forward,0
3857272,36830,1839,26,,0
3857272,38792,1839,6,Left Defensive Midfield,1
3857278,3377,1839,21,Right Wing,1
3857278,3658,1839,22,,0
3857278,4614,1839,5,Left Back,1
3857278,6806,1839,18,Right Back,0
3857278,8246,1839,10,Left Wing,1
3857278,8526,1839,8,Left Center Midfield,1
3857278,12352,1839,1,Goalkeeper,1
3857278,12524,1839,3,Right Center Forward,0
3857278,12746,1839,25,,0
3857278,12751,1839,4,Center Defensive Midfield,1
3857278,12757,1839,15,,0
3857278,13035,1839,23,Left Defensive Midfield,0
3857278,13442,1839,17,,0
3857278,15971,1839,20,Right Center Back,1
3857278,18242,1839,13,Left Center Back,1
3857278,21201,1839,12,,0
3857278,21881,1839,2,Right Back,1
3857278,22008,1839,19,Left Center Forward,0
3857278,22168,1839,24,Center Forward,1
3857278,22433,1839,9,,0
3857278,23789,1839,16,,0
3857278,24243,1839,11,Left Wing,0
3857278,33274,1839,14,,0
3857278,34339,1839,7,,0
3857278,36830,1839,26,,0
3857278,38792,1839,6,Right Center Midfield,1
3857278,5220,797,8,Left Center Back,1
3857278,5222,797,15,,0
3857278,5224,797,20,Center Forward,1
3857278,5226,797,9,Center Attacking Midfield,1
3857278,5227,797,1,Goalkeeper,1
3857278,5228,797,19,Right Center Back,1
3857278,5230,797,3,Left Midfield,1
3857278,5231,797,10,Right Wing,0
3857278,5235,797,23,Right Back,1
3857278,5240,797,14,Left Wing,0
3857278,5241,797,11,,0
3857278,5720,797,5,Left Back,1
3857278,5722,797,6,Left Defensive Midfield,1
3857278,11224,797,22,,0
3857278,23538,797,2,,0
3857278,23874,797,17,Right Midfield,1
3857278,124161,797,16,Right Center Midfield,0
3857278,124167,797,21,Right Defensive Midfield,1
3857278,124175,797,13,,0
3857278,124177,797,4,,0
3857278,124183,797,12,,0
3857278,125818,797,18,Left Center Midfield,0
3857278,125823,797,24,,0
3857278,326758,797,25,Left Back,0
3857277,3441,785,13,Right Wing,1
3857277,3471,785,6,Right Center Back,1
3857277,5456,785,8,Left Center Midfield,1
3857277,5460,785,9,Center Forward,1
3857277,5463,785,10,Right Center Midfield,1
3857277,5468,785,21,,0
3857277,5469,785,11,Center Defensive Midfield,1
3857277,5474,785,4,Left Wing,1
3857277,7693,785,16,,0
3857277,8654,785,17,,0
3857277,11127,785,3,,0
3857277,11603,785,15,Right Wing,0
3857277,12625,785,19,Left Back,1
3857277,16527,785,18,Right Wing,0
3857277,16531,785,1,Goalkeeper,1
3857277,22041,785,14,Center Forward,0
3857277,28835,785,23,,0
3857277,28914,785,7,Left Center Midfield,0
3857277,29163,785,22,Right Back,1
3857277,29342,785,12,,0
3857277,32602,785,26,,0
3857277,32689,785,5,,0
