event_id,match_id,period,minute,team_id,player_id,position_name,outcome_name,is_complete,loc_x,loc_y
a213f677-1244-44ed-8207-7282fa453dde,3857278,1,33,797,23874,Right Midfield,Complete,1,39.2,68.4
ec141633-0863-4dc7-83cb-dab2bd1fa472,3857278,1,43,1839,38792,Right Center Midfield,Incomplete,0,70.8,61.1
6a925aae-3efa-4a3a-9e31-68d61653dbaa,3857278,1,44,1839,12751,Center Defensive Midfield,Complete,1,45.0,34.4
55db1b8b-0997-4f09-8aed-3792321b4db9,3857278,1,48,1839,21881,Right Back,Complete,1,82.6,78.2
76fb2e05-3921-47e1-b6d5-22d21b7101c0,3857278,1,49,1839,38792,Right Center Midfield,Incomplete,0,98.6,21.8
05dffc34-d8e2-4e6e-acee-5dc6d2fc991f,3857278,1,50,1839,4614,Left Back,Incomplete,0,76.8,5.3
6a38eaf5-e724-4109-9782-bfbb12aabb47,3857278,2,45,1839,24243,Left Wing,Incomplete,0,106.9,23.0
16d3026f-4dff-44c4-a27e-8d7eeb565b19,3857278,2,51,1839,38792,Right Center Midfield,Complete,1,43.5,52.0
2e6edae6-5886-4fef-935a-128322187877,3857278,2,53,797,5226,Center Forward,Complete,1,107.7,11.6
156bf2c5-c1d0-4664-ae22-e8733b9e4b36,3857278,2,55,1839,24243,Left Midfield,Complete,1,109.1,17.7
53e3d5e0-d27d-41c3-b822-73e49abbec7b,3857278,2,59,1839,3377,Right Center Forward,Complete,1,30.2,63.9
1866cdd6-6799-4fa7-a481-59fbdf460f81,3857278,2,64,1839,4614,Left Back,Incomplete,0,17.7,19.7
0ec49f36-6de0-4035-baec-58dd0f1e8b2c,3857278,2,65,1839,15971,Right Center Back,Complete,1,27.1,65.7
1b7ece54-e9db-4ef9-a1af-a5f7e95bd911,3857278,2,72,1839,21881,Right Back,Complete,1,75.5,65.2
8cce5e76-f0c4-44ea-9d4d-3c7faf94b36a,3857278,2,73,797,23874,Right Wing,Complete,1,93.3,74.5
fb7f10ca-3ff4-4e9d-8489-ee2d8bef5544,3857278,2,79,797,5235,Right Back,Complete,1,68.6,76.1
6c6cff75-30d8-4852-9d5f-bce92059d593,3857278,2,86,1839,24243,Left Wing,Complete,1,113.3,24.6
a2599541-eee4-4e84-a82e-ece22a5a3187,3857278,2,87,797,326758,Left Back,Complete,1,64.3,16.1
60c69e7b-0a83-4b95-a47e-c96a28d5e722,3857278,2,88,1839,24243,Left Wing,Incomplete,0,43.4,2.6
fed193af-4edd-413a-a4e5-d500afe37659,3857278,2,93,797,5226,Left Center Forward,Incomplete,0,56.6,3.4
52908870-4013-4c58-b842-4c45e6110e7e,3857278,2,95,797,326758,Left Back,Incomplete,0,78.2,9.4
40ad9086-e7ff-4a73-bc13-9b2176fd2ca4,3857277,1,2,785,29163,Right Back,Complete,1,68.9,78.9
f2c75022-2358-4494-ad35-4fbf081ef517,3857277,1,2,785,5460,Center Forward,Complete,1,94.2,78.9
bd84cf9d-e112-40d0-98e4-8c69f44b6288,3857277,1,2,785,5460,Center Forward,Incomplete,0,95.2,75.7
7beb64c0-29ef-4f53-8954-070b7183a53f,3857277,1,12,788,5237,Right Midfield,Complete,1,100.0,49.6
006b1e08-1ba9-429f-bcfa-8d572ce4f7ce,3857277,1,17,788,5245,Right Back,Incomplete,0,69.8,73.1
40e35166-ca7e-4fb6-b479-d31b17688123,3857277,1,18,788,5245,Right Back,Complete,1,95.7,42.9
6e4e9bd6-ebc7-4be1-a132-410f13c1a623,3857277,1,22,785,29163,Right Back,Incomplete,0,86.2,78.5
70689c04-2720-4299-aa44-092ea4386fba,3857277,1,23,788,5245,Right Back,Complete,1,116.6,70.9
262321d4-7d68-4219-9cc6-c06cb691c80f,3857277,1,31,788,5237,Right Midfield,Incomplete,0,62.9,73.3
cf9d0223-d7b8-487e-b20a-b6c673339876,3857277,1,36,785,5469,Center Defensive Midfield,Complete,1,59.9,36.5
da409098-d085-42b4-93e2-875a474d3097,3857277,1,36,788,23774,Left Center Midfield,Complete,1,34.1,6.4
f0fd5fc2-a2ae-4870-811b-d8ff7dfe4b63,3857277,1,39,785,5463,Right Center Midfield,Incomplete,0,22.1,7.7
1798bab4-e34e-41aa-92c0-c2f9d94c373c,3857277,1,44,788,3625,Left Midfield,Incomplete,0,54.2,2.5
23eade01-f9ca-4cf2-88d9-e9b3c8f5d69e,3857277,1,45,785,12625,Left Back,Incomplete,0,49.2,8.5
37dc3342-a458-49cf-88cf-56a1ae59f244,3857277,2,46,785,5456,Left Center Midfield,Complete,1,41.9,22.9
71d8e307-100a-49a1-b44c-c321d8185e57,3857277,2,48,788,3625,Left Midfield,Incomplete,0,72.7,4.9
9954d16c-21e3-463b-bd6e-4d2279bfa18f,3857277,2,49,785,5460,Center Forward,Incomplete,0,44.6,4.8
e8407a16-8235-4e05-94d4-4d328f1e6b13,3857277,2,56,785,5469,Center Defensive Midfield,Incomplete,0,54.5,44.1
e34cbfa7-cb81-4afb-a6ff-2b5a78d41978,3857277,2,56,785,5474,Left Wing,Incomplete,0,96.1,2.2
16dcff87-d2b9-4f2f-90c2-5c85a4b79651,3857277,2,62,788,3625,Left Midfield,Complete,1,73.3,27.1
