event_id,match_id,period,minute,team_id,player_off_id,player_off_name,player_on_id,player_on_name,position_name,outcome_name
a624a763-f8b3-4402-b3e7-af4449ebd476,3857298,2,91,4885,2989,Alexander Djiku,9286,Antoine Semenyo,Center Back,Tactical
6c424e89-51ac-4186-801a-08292621111b,3857298,2,92,4885,31029,Salis Abdul Samed,28616,Daniel-Kofi Kyereh,Center Defensive Midfield,Tactical
d927a137-a029-4036-b071-0d75888559b8,3857285,2,61,941,3264,Vincent Janssen,2988,Memphis Depay,Right Center Forward,Tactical
3ab73733-85ae-46b5-90ee-0f3e42c0445f,3857285,2,61,787,8553,Abdou Diallo,32915,Ismail Jakobs,Left Back,Injury
1a13c2b3-d7ba-44d3-9d50-8799797f9c21,3857285,2,68,787,20611,Boulaye Dia,88123,Cheikh Ahmadou Bamba Mbacke Dieng,Center Forward,Tactical
d17d4431-d700-41af-826c-c9c947da99d7,3857285,2,73,787,3684,Cheikhou Kouyate,21026,Pape Gueye,Right Center Midfield,Injury
2425bed7-89c5-464d-b0e5-3b2d539eec4e,3857285,2,73,787,20758,Krepin Diatta,50497,Nicolas Jackson,Right Wing,Tactical
b5b94167-6a87-4dec-bc16-d7d7ba6692c2,3857285,2,78,941,8259,Steven Bergwijn,4318,Davy Klaassen,Right Center Forward,Tactical
cd8528b5-0be2-47e7-b1b6-cc5b83205802,3857285,2,78,941,7745,Steven Berghuis,7891,Teun Koopmeiners,Right Defensive Midfield,Tactical
8eef287b-bfd6-428b-8875-c24361b5e102,3857285,2,93,941,20750,Cody Mathes Gakpo,6994,Marten de Roon,Right Center Forward,Tactical
cd37cb6c-d003-4bad-b807-587d139daef9,3857282,2,45,907,11252,Daniel James,3853,Kieffer Roberto Francisco Moore,Left Center Forward,Tactical
287361ae-1b20-44c9-b6bc-d6630a0929fa,3857282,2,65,1839,8526,Weston McKennie,24243,Brenden Aaronson,Right Center Midfield,Tactical
2f7d93cd-b8ca-4ce0-9dc2-2f3333517787,3857282,2,73,1839,22168,Joshua Sargent,22008,Haji Wright,Center Forward,Tactical
1484e424-7581-4307-95c9-11acea7dec2a,3857282,2,74,1839,21881,Sergino Dest,3658,DeAndre Yedlin,Right Back,Tactical
487fba58-8fef-4444-bdfe-1a2aec3aad99,3857282,2,74,1839,38792,Yunus Dimoara Musah,13035,Kellyn Kai Perry-Acosta,Left Center Midfield,Injury
966bd529-296e-4021-a558-828073374ddb,3857282,2,78,907,34794,Neco Williams,29377,Brennan Johnson,Left Wing Back,Tactical
e16b9af3-8b90-49ee-a3cd-fbf76df6e009,3857282,2,87,1839,3377,Timothy Weah,23789,Jordan Morris,Right Wing,Tactical
0f10aebd-c114-4c96-a828-58895aabbfdc,3857282,2,92,907,9540,Harry Wilson,50528,Sorba Thomas,Left Midfield,Tactical
1ed870b6-0270-4605-a421-e285a20e1a41,3857282,2,94,907,4934,Ethan Ampadu,22074,Joseff Morrell,Left Defensive Midfield,Injury
4c4540e8-1fad-4a0a-9534-93a1eec32b95,3857297,2,45,799,51632,Sami Khalil Al Naji,54144,Nawaf Shaker Al Abid,Center Attacking Midfield,Tactical
f94a9eeb-9be6-4f1a-9392-9eab9108344c,3857297,2,62,789,5660,Piotr Zielinski,31955,Jakub Kaminski,Center Attacking Midfield,Tactical
9f3dd550-3cf7-4f2f-94bb-85282694cfef,3857297,2,64,799,5191,Mohammed Al Burayk,57620,Sultan Abdullah Salim Al Ghannam,Right Back,Tactical
461a3c2a-6b76-42cf-b821-01d44c36ffa4,3857297,2,70,789,5665,Arkadiusz Milik,12493,Krzysztof Piatek,Left Center Forward,Tactical
90b9babc-7070-4c21-8a0e-56e31fbebc61,3857297,2,84,799,56755,Abdulelah Saad Hameed Al-Malki,51705,Abdulrahman Al-Obood,Left Defensive Midfield,Tactical
83e35309-0994-4353-b078-164420292cc0,3857297,2,85,799,51469,Saleh Khalid Al Shehri,74623,Nasser Al Dawsari,Center Forward,Tactical
2a850a82-c6eb-48ab-baeb-df30235f0d04,3857297,2,94,799,54144,Nawaf Shaker Al Abid,5188,Hattan Babhir,Center Attacking Midfield,Tactical
2e031f4e-6d03-4899-868e-9c38fe2b3076,3857294,2,63,3566,124488,Hassan Khalid Al Heidos,149463,Ali Assadalla Thaimn Qambar,Left Center Midfield,Injury
d55b58c0-f255-407d-a935-1f6c531dc23e,3857294,2,63,3566,124500,Assim Omer Al Haj Madibo,124492,Karim Boudiaf,Center Defensive Midfield,Tactical
440dba29-f341-49cc-b9a9-02936ce7ccb3,3857294,2,64,3566,124495,Almoez Ali Zainalabiddin Abdulla,124901,Mohammed Muntari,Right Center Forward,Tactical
41ee30bd-776a-4902-b8ca-0a67c614a37d,3857294,2,65,941,4318,Davy Klaassen,7745,Steven Berghuis,Center Attacking Midfield,Tactical
d2ce7aa9-f813-47d3-9ed0-e9a8b23d4118,3857294,2,65,941,2988,Memphis Depay,3264,Vincent Janssen,Left Center Forward,Tactical
9886a74c-18a8-469a-9bcb-4d5b31602afa,3857294,2,82,941,20750,Cody Mathes Gakpo,7829,Wout Weghorst,Right Center Forward,Tactical
60d86b7d-fe79-47f1-a561-c0541d0f6e8c,3857294,2,82,941,6994,Marten de Roon,7891,Teun Koopmeiners,Right Defensive Midfield,Tactical
4255cac6-baf1-4819-aee5-c481df8a0757,3857294,2,84,3566,124514,Abdulaziz Hatem Mohammed Abdullah,124490,Ahmed Alaa Eldin Abdelmotaal,Right Center Midfield,Tactical
e17c512e-7bdb-4aaf-b1a1-0a84c69a273f,3857294,2,84,3566,124899,Ismaeel Mohammad Mohammad,124512,Mosaab Khoder Jibril,Right Wing Back,Tactical
f177efce-6f2f-4b29-a541-af812c239095,3857294,2,85,941,8118,Frenkie de Jong,21879,Kenneth Taylor,Left Defensive Midfield,Tactical
bcc116c5-4bab-4262-9ae1-a07b8e62177a,3857266,2,45,776,5732,Andreas Evald Cornelius,4447,Martin Braithwaite Christensen,Center Forward,Tactical
469c11ba-24eb-49e9-bc01-b465508c831c,3857266,2,61,771,3604,Olivier Giroud,2972,Marcus Thuram,Center Forward,Tactical
9869aa62-80f2-4db8-93b4-797ef50b352c,3857266,2,72,776,24443,Mikkel Damsgaard,6302,Kasper Dolberg,Left Wing,Tactical
ed5ee939-7873-40a1-8fd7-bf8c9dd32df5,3857266,2,73,771,5485,Raphael Varane,11135,Ibrahima Konate,Right Center Back,Tactical
1d7a6c42-ceb0-49ea-acae-e6024b83cbbd,3857266,2,74,771,5477,Ousmane Dembele,8217,Kingsley Coman,Right Wing,Tactical
3a15a300-4061-4b96-a620-d2bdb719ea48,3857266,2,84,776,27569,Jesper Lindstrom,7097,Christian Norgaard,Right Wing,Tactical
df0555b2-256b-4923-a53d-c8c6633db5c9,3857266,2,91,776,16190,Rasmus Nissen Kristensen,24547,Alexander Hartmann Bah,Right Wing Back,Tactical
b3002b12-ec2f-4b0c-8d13-f1a2b338e7ab,3857266,2,92,771,5487,Antoine Griezmann,11990,Youssouf Fofana,Center Attacking Midfield,Tactical
b8fe0e07-6fcd-4c55-b6d8-3eb9781d98ec,3857284,2,45,778,31090,Takefusa Kubo,23730,Takehiro Tomiyasu,Left Wing,Tactical
00026ffe-6297-4fd4-b4b1-35211bc10933,3857284,2,56,778,5690,Yuto Nagatomo,37211,Kaoru Mitoma,Left Wing Back,Tactical
d22ce87b-40d7-4bb9-a0a3-5abf329f2b43,3857284,2,56,778,30628,Daizen Maeda,8949,Takuma Asano,Center Forward,Tactical
6ed4d0e8-4743-48d4-b90f-b2ccc30237f9,3857284,2,66,770,5562,Thomas Muller,8804,Jonas Hofmann,Center Attacking Midfield,Tactical
d11fb04a-e92d-44b7-aa87-6c8c9d0c3f19,3857284,2,67,770,10287,Ilkay Gundogan,6324,Leon Goretzka,Left Defensive Midfield,Tactical
eef70629-3ff6-4b3d-b347-527342bb30ea,3857284,2,70,778,37208,Ao Tanaka,8361,Ritsu Doan,Left Defensive Midfield,Tactical
156e7610-9b54-4ad5-9d23-af4b560222a5,3857284,2,73,778,3530,Hiroki Sakai,8776,Takumi Minamino,Right Wing Back,Injury
78b8c35c-21a5-4eae-a833-96928b389eb1,3857284,2,78,770,39565,Jamal Musiala,8227,Mario Gotze,Center Attacking Midfield,Tactical
462afc4e-bf75-44c7-b216-8f2d7cef35eb,3857284,2,78,770,8966,Kai Havertz,8546,Niclas Fullkrug,Center Forward,Tactical
72154c72-d817-48ee-a284-d41d67b97b1d,3857284,2,89,770,8400,Serge Gnabry,38837,Youssoufa Moukoko,Left Wing,Tactical
b80c05c8-25dd-44cf-814d-0c69552d9382,3857254,1,45,776,5527,Thomas Delaney,24443,Mikkel Damsgaard,Center Defensive Midfield,Injury
4c65a014-ab4a-49ed-8039-27ddfdfe6625,3857254,2,63,776,5534,Simon Thorup Kjaer,18722,Mathias Jensen,Center Back,Tactical
374f1653-c245-49fb-baae-3b3b3923029a,3857254,2,64,776,17042,Andreas Skov Olsen,27569,Jesper Lindstrom,Right Attacking Midfield,Tactical
bd7863d4-a605-4485-9cb5-066d8a49f2c8,3857254,2,64,776,6302,Kasper Dolberg,5732,Andreas Evald Cornelius,Center Forward,Tactical
894170ff-2f52-465b-a017-84944b2f2484,3857254,2,66,777,35592,Anis Ben Slimane,3557,Naim Sliti,Right Wing,Tactical
4df985b4-bf4f-4699-95a1-189313608292,3857254,2,79,777,23910,Youssef Msakni,50988,Hannibal Mejbri,Left Wing,Tactical
0162ca7b-0f2b-4526-b3ff-2073e3ff8280,3857254,2,80,777,16352,Issam Jebali,128793,Taha Yassine Khenissi,Center Forward,Tactical
9e33f002-bea8-42fb-91f8-48ca39cce993,3857254,2,87,777,9236,Mohamed Drager,105944,Wajdi Kechrida,Right Wing Back,Tactical
d298a8fa-e9ec-4712-8cd5-9df3d2c9c90a,3857254,2,87,777,44955,Aissa Bilal Laidouni,5650,Ferjani Sassi,Left Defensive Midfield,Tactical
986a15bd-0a68-472d-b393-aac4d5eb2e8e,3857265,2,45,789,50502,Nicola Zalewski,11737,Krystian Bielik,Left Midfield,Tactical
5cdc84d1-7da5-40b2-a862-e4777d844dcb,3857265,2,70,794,5575,Hector Miguel Herrera Lopez,26297,Carlos Alberto Rodriguez Gomez,Right Center Midfield,Tactical
e019d8d3-30ce-4cb2-99b7-fc4be06f097b,3857265,2,70,794,26400,Henry Josue Martin Mex,5568,Raul Alonso Jimenez Rodriguez,Center Forward,Tactical
d6ee0b30-0ed5-4bd0-a7cf-a0bf08ee4ef6,3857265,2,71,789,4664,Sebastian Szymanski,7979,Przemyslaw Frankowski,Left Midfield,Tactical
db4960a2-54e9-4ffa-803e-40423f45426f,3857265,2,83,794,26301,Ernesto Alexis Vega Rojas,15452,Carlos Uriel Antuna Romero,Left Wing,Tactical
77e81df6-ea72-475e-af5b-7945f72770a5,3857265,2,87,789,5660,Piotr Zielinski,5665,Arkadiusz Milik,Center Attacking Midfield,Tactical
a2ec80df-584c-4dd3-b89d-0f8054c1a8a6,3857301,2,63,787,20758,Krepin Diatta,31751,Pathe Ismael Ciss,Left Wing,Tactical
ed9080c7-eb0d-4743-b7c2-d25520fb0d80,3857301,2,68,3566,124492,Karim Boudiaf,124514,Abdulaziz Hatem Mohammed Abdullah,Right Center Midfield,Tactical
ffdb32ab-0ae6-4d2e-a1cf-3566cb038f9f,3857301,2,73,787,13314,Famara Diedhiou,88123,Cheikh Ahmadou Bamba Mbacke Dieng,Center Forward,Tactical
f8a6c12a-5e36-47a1-9755-0b7ffd031c03,3857301,2,73,787,2941,Ismaila Sarr,80484,Iliman Ndiaye,Left Wing,Tactical
00cd79a6-f04f-4a8a-97f6-162ce63582e0,3857301,2,74,3566,124488,Hassan Khalid Al Heidos,124901,Mohammed Muntari,Left Center Midfield,Tactical
ab2be83f-0ebc-424a-96f8-ba8309cb8b60,3857301,2,76,787,32915,Ismail Jakobs,15970,Pape Abou Cisse,Left Back,Tactical
c49e8e7d-b04b-4d00-9e3a-4c73d3636fd6,3857301,2,76,787,4506,Nampalys Mendy,50498,Pape Matar Sarr,Right Center Midfield,Tactical
86cdcc61-da19-4df4-b89a-9258a33f2b13,3857301,2,82,3566,124900,Homam Alamin Ahmed,124504,Tarek Salman Salman,Left Wing Back,Tactical
c4662747-d990-490c-b650-56e451057140,3857301,2,82,3566,124506,Pedro Miguel Correia,124909,Mohammed Waed Abdulwahhab Al Bayati,Right Center Back,Tactical
fa2af6cc-2a25-4735-a4d4-eca928acfd94,3857268,2,45,782,2954,Youri Tielemans,48347,Amadou Onana,Right Defensive Midfield,Tactical
fd8274c3-6f90-4676-86d9-4fd3b16fe91d,3857268,2,45,782,5633,Yannick Ferreira Carrasco,3176,Thomas Meunier,Left Wing Back,Tactical
d2f24a0a-f4bd-4b43-97c6-d4930a190929,3857268,2,57,1833,9922,David Junior Hoilett,16459,Cyle Larin,Left Attacking Midfield,Tactical
8f9164c3-2847-44c6-9cca-a09a2aa7564c,3857268,2,57,1833,31684,Atiba Hutchinson,133229,Ismael Kone,Right Defensive Midfield,Tactical
3d98b5b9-2e07-40fe-9182-cb99fdeb7446,3857268,2,61,782,3621,Eden Hazard,16559,Leandro Trossard,Left Attacking Midfield,Tactical
b4428be1-2a9e-48b7-b10b-916aacdfc13f,3857268,2,73,1833,16120,Richie Laryea,29758,Sam Adekugbe,Right Wing Back,Tactical
c540746e-ee9e-42ad-8d57-7d4896975f0e,3857268,2,77,782,3457,Michy Batshuayi Tunga,16275,Ikoma Lois Openda,Center Forward,Tactical
a78b3ed0-af62-43f3-95e8-db3a99b157b5,3857268,2,80,1833,24024,Tajon Buchanan,23363,Liam Millar,Right Wing Back,Tactical
77b9d4ad-8e4a-4874-b50f-9ce6eb175139,3857268,2,80,1833,11187,Stephen Antunes Eustaquio,12770,Jonathan Osorio,Left Defensive Midfield,Tactical
30cb3923-b6fe-4b6e-b9e6-cf9154e777f2,3857269,2,45,781,22600,Lucas Tolentino Coelho de Lima,25104,Rodrygo Silva de Goes,Center Attacking Midfield,Tactical
cb0d1f3c-fc00-44a0-907c-c3641a51d2ff,3857269,2,57,781,9904,Frederico Rodrigues Santos,25142,Bruno Guimaraes Rodriguez Moura,Right Defensive Midfield,Tactical
