event_id,match_id,period,minute,second,team_id,team_name,player_id,player_name,position_name,loc_x,loc_y,end_loc_x,end_loc_y,statsbomb_xg,outcome_name,body_part_name,shot_type_name,technique_name,under_pressure
d61a5bc5-cdf0-47a7-ad8b-1453b3315a82,3857267,1,2,43,787,Senegal,3436,Idrissa Gana Gueye,Center Attacking Midfield,106.9,45.7,120.0,45.0,0.21271749,Off T,Right Foot,Open Play,Normal,0
26b97ae4-3213-4621-9403-327bd8d869db,3857267,1,7,47,787,Senegal,20611,Boulaye Dia,Center Forward,109.3,51.9,120.0,33.3,0.16839646,Off T,Right Foot,Open Play,Normal,0
48487024-2b14-4521-a46b-508418babbad,3857267,1,9,51,3565,Ecuador,28559,Enner Remberto Valencia Lastra,Left Wing,86.9,40.9,104.7,40.3,0.021615954,Blocked,Right Foot,Free Kick,Normal,0
9f9cc1fe-f26f-416d-a2bc-c965c1b2aed0,3857267,1,9,58,3565,Ecuador,28559,Enner Remberto Valencia Lastra,Left Wing,95.9,37.7,106.4,39.9,0.02803523,Blocked,Right Foot,Open Play,Half Volley,0
e3788f0f-b869-4e30-b752-70b1062457ba,3857267,1,10,52,787,Senegal,2941,Ismaïla Sarr,Left Wing,99.2,40.2,104.2,40.6,0.042373266,Blocked,Right Foot,Open Play,Half Volley,0
9c6d9302-1de8-4a97-ac5c-52153023503d,3857267,1,11,53,787,Senegal,80484,Iliman Ndiaye,Right Wing,99.7,52.9,120.0,33.7,0.02889044,Off T,Left Foot,Open Play,Normal,0
c319aceb-f6cd-40e3-8431-557a2619a822,3857267,1,23,37,787,Senegal,2941,Ismaïla Sarr,Left Wing,104.1,25.5,104.8,26.2,0.023828069,Blocked,Right Foot,Open Play,Normal,0
04b3da1e-5e65-4060-8945-664a3fe004ee,3857267,1,24,20,787,Senegal,21026,Pape Gueye,Left Defensive Midfield,93.0,36.3,105.8,39.5,0.025696881,Blocked,Left Foot,Open Play,Normal,0
d68c0771-3315-4ef2-8c10-82157b6eeb7e,3857267,1,24,27,787,Senegal,8553,Abdou Diallo,Left Center Back,107.9,41.9,118.5,44.7,0.035411544,Wayward,Head,Open Play,Normal,0
5f66b1e6-4264-46d4-bf52-ec9e834b12c6,3857267,1,36,31,787,Senegal,31751,Pathé Ismaël Ciss,Right Defensive Midfield,108.1,33.6,120.0,41.1,0.03057826,Off T,Head,Open Play,Normal,0
e800e0bb-7fe2-4b0b-a284-d79772a9e828,3857267,1,43,41,787,Senegal,2941,Ismaïla Sarr,Left Wing,108.0,40.0,120.0,43.4,0.7835,Goal,Right Foot,Penalty,Normal,0
8c2f9c1f-2c84-4d2d-9794-9b87829ede8a,3857267,1,46,31,787,Senegal,80484,Iliman Ndiaye,Right Wing,107.3,46.7,108.0,46.2,0.04522632,Blocked,Left Foot,Open Play,Half Volley,0
f357068e-101e-47d5-9cab-b46abeab6fd2,3857267,2,48,26,3565,Ecuador,36148,José Adoni Cifuentes Charcopa,Right Defensive Midfield,93.8,51.3,117.7,42.5,0.025271386,Saved,Right Foot,Open Play,Normal,0
5783c86d-02e9-4d3c-89e8-0b1ea00d2aca,3857267,2,56,59,3565,Ecuador,34396,Michael Steveen Estrada Martínez,Right Center Forward,106.7,38.8,120.0,31.1,0.042533338,Off T,Head,Open Play,Normal,0
d7dc9e6e-e833-4bca-abe0-16efd35baa2d,3857267,2,66,57,3565,Ecuador,30111,Felix Eduardo Torres Caicedo,Right Center Back,113.7,42.7,117.0,36.2,0.15397952,Wayward,Head,Open Play,Normal,0
fe08733c-664e-444f-9053-4753f4d98076,3857267,2,66,58,3565,Ecuador,37726,Moisés Isaac Caicedo Corozo,Left Defensive Midfield,117.2,35.6,120.0,36.9,0.5894187,Goal,Right Foot,Open Play,Volley,0
7f414cf8-690c-4ce8-bdb4-7de35ddbd88b,3857267,2,69,30,787,Senegal,5675,Kalidou Koulibaly,Right Center Back,114.3,46.0,120.0,38.2,0.23427999,Goal,Right Foot,Open Play,Volley,0
