event_id,match_id,period,minute,team_id,player_id,position_name,duel_type,outcome_name,is_won,loc_x,loc_y
69c8a289-23e5-4a41-ae17-8270d5dfb95e,3857293,1,11,4885,6393,Right Wing,Tackle,Success In Play,1,80.5,40.2
7d5e1f86-0d16-440f-bad6-dfa2bf7ce97b,3857293,1,12,4885,3709,Right Center Back,Aerial Lost,,0,47.1,51.5
d54ac9dd-4a48-49a5-8aea-0eb51c3e696f,3857293,1,12,4885,45047,Right Back,Tackle,Success In Play,1,16.8,44.3
4827ee8b-25ce-4e27-b79e-f18950e010f9,3857293,1,13,783,5260,Left Defensive Midfield,Tackle,Success In Play,1,51.0,14.8
3ae87c31-e019-42eb-8e78-62332acb0404,3857293,1,20,783,5258,Left Midfield,Tackle,Success In Play,1,3.1,14.6
adf9bd4b-2c03-44f0-a3e1-b636e6460c04,3857293,1,21,4885,3347,Center Attacking Midfield,Tackle,Won,1,32.9,77.6
e2739dfe-9713-4c37-b629-a5cff85d941b,3857293,1,22,4885,31029,Left Defensive Midfield,Aerial Lost,,0,58.1,28.1
0c105634-a394-4072-a299-04c742077863,3857293,1,22,4885,6383,Right Defensive Midfield,Tackle,Success In Play,1,51.1,37.1
bf5f5f31-7c50-45db-8502-4177b4a3a3ad,3857293,1,25,783,36288,Right Midfield,Tackle,Success In Play,1,57.3,63.9
ef46ae5d-0551-49d6-9f39-283eff132344,3857293,1,27,783,6773,Right Defensive Midfield,Tackle,Success Out,1,68.8,79.6
4f7f629f-8341-4cfa-81a6-1f214b1e0bf1,3857293,1,27,783,32478,Left Center Forward,Tackle,Success In Play,1,33.0,20.5
d75b326b-24a2-4ce3-8203-e262753c7f9d,3857293,1,28,4885,3347,Center Attacking Midfield,Aerial Lost,,0,110.0,48.3
ac1746e9-8766-45a2-bf99-a5e4e8a2514d,3857293,1,29,783,5260,Left Defensive Midfield,Tackle,Won,1,52.0,16.5
c5f871ba-e134-40e2-96e8-5e1448b73d57,3857293,1,35,783,32478,Left Center Forward,Tackle,Lost Out,0,50.1,73.7
03c34c0d-f405-476d-9d5b-7310ca777bee,3857293,1,35,783,36288,Right Midfield,Tackle,Lost In Play,0,35.4,77.9
82d380d6-5bc0-4442-aa94-e36dfab85132,3857293,1,37,4885,12325,Left Back,Tackle,Lost Out,0,64.7,2.5
e2d892c9-9d2e-42fc-b55d-1c53a2b51bbe,3857293,1,37,783,5258,Left Midfield,Aerial Lost,,0,74.0,43.5
f7d1a080-52fa-4ee5-ada7-b41fd4ad2f2e,3857293,1,38,783,36288,Right Midfield,Aerial Lost,,0,55.8,78.5
405d0de1-ae3b-44ae-abcd-0c8974cb2f68,3857293,1,38,783,5246,Right Center Forward,Tackle,Lost In Play,0,103.1,60.9
2563d24e-d649-4417-b834-ec08e1f4c935,3857293,1,41,783,7104,Left Back,Tackle,Lost In Play,0,13.3,5.7
fc7c0513-9ed7-4d8e-8501-9e3efeba48d2,3857293,1,44,783,6300,Left Center Back,Aerial Lost,,0,111.5,43.1
023bd4c3-863e-4dbc-8935-39c0ea460f67,3857293,1,45,783,5258,Left Midfield,Tackle,Success In Play,1,37.5,4.6
953ed37d-b30a-4550-997b-b468535eae4e,3857293,1,45,4885,6383,Right Defensive Midfield,Tackle,Lost In Play,0,39.0,33.2
6a43175c-311a-45ff-abcf-b85d38cb2cd7,3857293,1,47,4885,3450,Left Wing,Aerial Lost,,0,63.1,33.6
64ed82c2-ef0b-4100-8bae-2e03b587e3ee,3857293,1,49,4885,12325,Left Back,Aerial Lost,,0,13.6,37.6
fa648a3d-8782-42fe-b226-dca8cdb996b2,3857293,1,50,783,32478,Left Center Forward,Aerial Lost,,0,82.9,50.1
8967dfa5-de78-4fc3-b940-75224552b100,3857293,1,50,4885,30519,Left Center Back,Tackle,Success In Play,1,25.7,24.4
3cf2512e-ac2a-44d3-b659-a0e62e6d348b,3857293,1,51,783,32478,Left Center Forward,Aerial Lost,,0,92.6,11.6
544da6e7-99da-470f-9ae1-9fe2e4751af2,3857293,1,51,4885,45047,Right Back,Tackle,Lost In Play,0,32.6,70.5
aef9ad99-fca8-4ce6-bbff-f47950175f5a,3857293,1,51,4885,45047,Right Back,Tackle,Success In Play,1,24.8,70.3
2f48f131-a5d4-4d27-8df9-69e48ba097f6,3857293,1,51,783,7104,Left Back,Tackle,Success In Play,1,25.3,4.0
ad317ffd-d2bf-49ee-bed0-1189b45abedf,3857293,1,53,4885,31029,Left Defensive Midfield,Aerial Lost,,0,63.6,62.5
fcf43a66-6f03-439b-9bb1-877ba61080e5,3857293,2,45,783,5255,Left Defensive Midfield,Tackle,Lost Out,0,55.3,5.0
9033919e-2b1b-42cd-bb08-018b402a0d0a,3857293,2,46,4885,45047,Right Back,Tackle,Success In Play,1,74.4,59.9
7456741a-47f5-4fba-a455-ff517e65dc5c,3857293,2,49,4885,17033,Center Attacking Midfield,Tackle,Success In Play,1,80.5,27.6
3574c3a2-5655-4983-ac32-d36ee756fda9,3857293,2,49,783,5258,Left Midfield,Tackle,Success In Play,1,14.9,7.7
86488b0b-f209-4c3d-bc43-5698ae3cd029,3857293,2,51,783,6773,Right Defensive Midfield,Tackle,Success In Play,1,33.1,15.3
2d4a9939-e65c-4b56-a8da-89f771f6fa12,3857293,2,52,4885,6393,Center Forward,Aerial Lost,,0,109.3,47.3
19ddfc52-8c7c-4a21-9dcb-74830839430b,3857293,2,56,4885,3709,Right Center Back,Tackle,Success In Play,1,12.1,50.6
a41c7bed-d76c-4723-8948-b493cead75b9,3857293,2,59,4885,31029,Left Defensive Midfield,Tackle,Success In Play,1,58.4,24.6
fa9b89f7-864e-4a9d-9b8e-dec788c09b3a,3857293,2,63,4885,3709,Right Center Back,Tackle,Lost Out,0,11.2,78.2
d212aa31-86ff-4039-b83b-d7baaafe61e4,3857293,2,64,783,32478,Left Center Forward,Tackle,Won,1,110.7,11.6
95adc2ca-8958-4193-993d-da986997a1f4,3857293,2,67,783,5264,Right Back,Tackle,Lost Out,0,12.1,68.3
0a43ba77-b4f3-4fe2-9230-6c9214381937,3857293,2,68,4885,3709,Right Center Back,Aerial Lost,,0,114.4,44.9
abc99c18-24f4-4375-95f9-500cd8d4807c,3857293,2,68,783,28729,Right Midfield,Aerial Lost,,0,75.8,58.1
da84824c-4ff2-4a40-bec6-ffab9950dc94,3857293,2,69,4885,45047,Right Back,Tackle,Lost In Play,0,12.3,69.6
0a244bdf-552e-486f-89d5-01752f4c26dd,3857293,2,70,4885,44225,Right Wing,Aerial Lost,,0,90.7,49.9
4d72ed60-3993-483a-b0f9-e4e8f0947711,3857293,2,72,4885,9286,Center Forward,Aerial Lost,,0,88.9,64.5
43960d94-4bf1-4497-afe1-b218df0b1741,3857293,2,72,783,5255,Left Defensive Midfield,Tackle,Lost In Play,0,49.8,55.4
