player_id,player_name,player_nickname,jersey_number,team_id,team_name
5595,Johan Alberto Venegas Ulloa,Johan Venegas,11,795,Costa Rica
5597,Keylor Navas Gamboa,Keylor Navas,1,795,Costa Rica
5598,Óscar Esau Duarte Gaitán,Óscar Duarte,6,795,Costa Rica
5600,Francisco Javier Calvo Quesada,Francisco Calvo,15,795,Costa Rica
5603,Nikola Milenković,,4,786,Serbia
5604,Young-Gwon Kim,Kim Young-Gwon,19,791,South Korea
5618,Woo-Young Jung,Jung Woo-Young,5,791,South Korea
5619,Hyeon-Woo Jo,,21,791,South Korea
5620,Hee-Chan Hwang,Hwang Hee-Chan,11,791,South Korea
5623,Jae-Sung Lee,Lee Jae-Sung,10,791,South Korea
5630,Dries Mertens,,14,782,Belgium
5632,Thorgan Hazard,,16,782,Belgium
5633,Yannick Ferreira Carrasco,Yannick Carrasco,11,782,Belgium
5642,Axel Witsel,,6,782,Belgium
5647,Ali Maâloul,,12,777,Tunisia
5650,Ferjani Sassi,,13,777,Tunisia
5651,Yassine Meriah,,4,777,Tunisia
5653,Mouez Hassen,,26,777,Tunisia
5655,Dylan Daniel Mahmoud Bronn,,6,777,Tunisia
5660,Piotr Zieliński,,20,789,Poland
5665,Arkadiusz Milik,,7,789,Poland
5667,Kamil Grosicki,,11,789,Poland
5668,Robert Lewandowski,,9,789,Poland
5669,Wojciech Szczęsny,,1,789,Poland
5673,Bartosz Bereszyński,,18,789,Poland
5675,Kalidou Koulibaly,,3,787,Senegal
5690,Yuto Nagatomo,,5,778,Japan
5693,Gaku Shibasaki,,7,778,Japan
5713,Mohammed Kanoo,,23,799,Saudi Arabia
5714,Mohammed Khalil Al Owais,Mohammed Al Owais,21,799,Saudi Arabia
5715,Ali Albulayhi,,5,799,Saudi Arabia
5719,Marco Asensio Willemsen,,10,772,Spain
5720,Milad Mohammadi,,5,797,Iran
5721,Daniel Carvajal Ramos,Daniel Carvajal,20,772,Spain
5722,Saeid Ezatolahi Afagh,Saeid Ezatolahi,6,797,Iran
5732,Andreas Evald Cornelius,Andreas Cornelius,21,776,Denmark
5743,Paulo Bruno Exequiel Dybala,Paulo Dybala,21,779,Argentina
5833,Nemanja Radonjić,,7,786,Serbia
5836,Bryan Oviedo,,8,795,Costa Rica
5839,Yeltsin Ignacio Tejeda Valverde,Yeltsin Tejeda,17,795,Costa Rica
5986,Chul Hong,Hong Chul,14,791,South Korea
6297,Maximiliano Gómez González,Maxi Gómez,18,783,Uruguay
6300,Sebastián Coates Nión,Sebastián Coates,19,783,Uruguay
6301,Youssef En-Nesyri,,19,788,Morocco
6302,Kasper Dolberg,,12,776,Denmark
6312,Franco Armani,,1,779,Argentina
6318,Andrija Živković,,14,786,Serbia
6319,Luka Jović,,11,786,Serbia
6321,Milos Veljkovic,,5,786,Serbia
6322,Niklas Süle,,15,770,Germany
6324,Leon Goretzka,,8,770,Germany
6328,Kendall Jamaal Waston Manley,Kendall Waston,19,795,Costa Rica
6331,Leander Dendoncker,,19,782,Belgium
6342,Aymen Mathlouthi,Balbouli,1,777,Tunisia
6347,Ghilane Chalali,,18,777,Tunisia
6377,Ángel Martín Correa,Ángel Correa,15,779,Argentina
6383,Thomas Teye Partey,Thomas Partey,5,4885,Ghana
6393,Iñaki Williams Arthuer,Iñaki Williams,19,4885,Ghana
6399,Gareth Frank Bale,Gareth Bale,11,907,Wales
6583,Carlos Soler Barragán,Carlos Soler,19,772,Spain
6687,Saša Lukić,,16,786,Serbia
6694,Gerónimo Rulli,Gero Rulli,12,779,Argentina
6698,Marko Dmitrović,,1,786,Serbia
6704,Theo Bernard François Hernández,Theo Hernández,22,771,France
6720,Pablo Sarabia García,Pablo Sarabia,22,772,Spain
6748,Ferrán Torres García,Ferrán Torres,11,772,Spain
6765,Rodrigo Hernández Cascante,Rodri,16,772,Spain
6773,Federico Santiago Valverde Dipetta,Federico Valverde,15,783,Uruguay
6785,Yassine Bounou,,1,788,Morocco
6797,Daniel Wass,,18,776,Denmark
6806,Shaquell Moore,Shaq Moore,18,1839,United States
6840,Marcos Llorente Moreno,Marcos Llorente,6,772,Spain
6892,Pau Francisco Torres,Pau Torres,4,772,Spain
6901,Nemanja Maksimović,,6,786,Serbia
6909,Damián Emiliano Martínez,Emiliano Martínez,23,779,Argentina
6945,Alex Sandro Lobo Silva,Alex Sandro,6,781,Brazil
6983,Remo Freuler,,8,773,Switzerland
6989,Timothy Castagne,,21,782,Belgium
6994,Marten de Roon,,15,941,Netherlands
7005,João Pedro Cavaco Cancelo,João Cancelo,20,780,Portugal
7006,Alejandro Darío Gómez,Papu Gómez,17,779,Argentina
7097,Christian Nørgaard,,15,776,Denmark
7104,Mathías Olivera Miramontes,Mathías Olivera,16,783,Uruguay
7117,Filip Đuričić,Filip Djuricic,21,786,Serbia
7145,Darko Lazović,,22,786,Serbia
7153,Jordan Veretout,,15,771,France
7161,Germán Alejandro Pezzella,Germán Pezzella,6,779,Argentina
7345,Mattéo Guendouzi Olié,Mattéo Guendouzi,6,771,France
7379,Edouard Mendy,,16,787,Senegal
7426,Jean-Charles Castelletto,,21,2722,Cameroon
7439,Axel Disasi,,3,771,France
7459,Jawad El Yamiq,,18,788,Morocco
7472,Nicolas Alexis Julio N'Koulou Ndoubena,Nicolas N'Koulou,3,2722,Cameroon
7551,Enzo Ebosse,,24,2722,Cameroon
7693,Bruno Petković,,16,785,Croatia
7745,Steven Berghuis,,11,941,Netherlands
7787,Stefan de Vrij,,6,941,Netherlands
7796,Silvan Widmer,,3,773,Switzerland
7797,Rodrigo Javier De Paul,Rodrigo De Paul,7,779,Argentina
7829,Wout Weghorst,,19,941,Netherlands
7838,Remko Pasveer,,1,941,Netherlands
7843,Mason Mount,,19,768,England
7891,Teun Koopmeiners,,20,941,Netherlands
7979,Przemysław Frankowski,,24,789,Poland
7993,Filip Mladenović,,25,786,Serbia
8021,Szymon Żurkowski,,17,789,Poland
8064,André Onana,,23,2722,Cameroon
8069,Matthijs de Ligt,,3,941,Netherlands
8108,Lawrence Ati-Zigi,,1,4885,Ghana
8118,Frenkie de Jong,,21,941,Netherlands
8124,Tyrell Malacia,,16,941,Netherlands
8125,Denzel Dumfries,,22,941,Netherlands
8217,Kingsley Coman,,20,771,France
8227,Mario Götze,,11,770,Germany
8240,Koen Casteels,,13,782,Belgium
8246,Christian Pulisic,,10,1839,United States
8247,Joachim Andersen,,2,776,Denmark
8259,Steven Bergwijn,,7,941,Netherlands
8326,Andries Noppert,,23,941,Netherlands
8346,Craig Goodwin,,23,792,Australia
8361,Ritsu Doan,,8,778,Japan
8400,Serge Gnabry,,10,770,Germany
8507,Lukas Klostermann,,16,770,Germany
8511,Thilo Kehrer,,5,770,Germany
8519,Dayotchanculle Upamecano,,18,771,France
8526,Weston McKennie,,8,1839,United States
8546,Niclas Füllkrug,,9,770,Germany
8553,Abdou Diallo,,22,787,Senegal
8561,Fabian Frei,,20,773,Switzerland
8591,Samuel Yves Oum Gwet,Samuel Gouet,14,2722,Cameroon
8654,Ante Budimir,,17,785,Croatia
8704,Mateusz Wieteska,,4,789,Poland
8714,Damian Szymański,,8,789,Poland
8776,Takumi Minamino,,10,778,Japan
8804,Jonas Hofmann,,18,770,Germany
8808,Matthias Ginter,,4,770,Germany
8814,Nico Elvedi,,4,773,Switzerland
8836,Karol Świderski,,16,789,Poland
8854,Wout Faes,,4,782,Belgium
8859,Ajdin Hrustic,,10,792,Australia
8870,Alfred Benjamin Gomis,Alfred Gomis,23,787,Senegal
8945,Christian Günter,,20,770,Germany
8949,Takuma Asano,,18,778,Japan
